Sector,Industry Group,Ticker 1,Ticker 2,P-Value,Residual Std
Industrials,Aerospace & Defense,GE,HWM,0.04456475960087995,1.7738012703751904
Industrials,Air Freight & Logistics,CHRW,FDX,0.027265047068987004,22.486532075903536
Information Technology,Application Software,FICO,PTC,0.021238954609786576,4.74666576067712
Financials,Asset Management & Custody Banks,BEN,IVZ,0.018800666318669668,0.5985953129168327
Health Care,Biotechnology,ABBV,GILD,0.030516846224418148,2.3398481320400837
Communication Services,Broadcasting,FOXA,WBD,0.022898390773739646,0.8924166691249148
Consumer Discretionary,Broadline Retail,AMZN,EBAY,0.01943185656223306,2.1265531246548295
Consumer Discretionary,Casinos & Gaming,LVS,WYNN,0.03356871179889504,3.612988574162229
Information Technology,Communications Equipment,ANET,JNPR,0.013441627901127098,1.6298312805773074
Financials,Consumer Finance,COF,SYF,0.040414782168717765,1.2306858194254038
Consumer Staples,Consumer Staples Merchandise Retail,TGT,WMT,0.0036639614305556227,1.4321173632551638
Consumer Discretionary,Distributors,GPC,LKQ,0.00030009753531217223,1.3387001619870438
Financials,Diversified Banks,PNC,USB,0.0431625790976262,1.6926621414644316
Utilities,Electric Utilities,ETR,PPL,0.02557713749034456,0.6311257977039222
Industrials,Electrical Components & Equipment,ETN,EMR,0.046838283471165226,4.1754492743010925
Information Technology,Electronic Equipment & Instruments,KEYS,ZBRA,0.04372786154796273,19.036501032075748
Materials,Fertilizers & Agricultural Chemicals,CTVA,FMC,0.005798583584741207,6.843679323815342
Financials,Financial Exchanges & Data,MKTX,NDAQ,0.045890657895007105,2.800332419199608
Health Care,Health Care Distributors,CAH,COR,0.0439961058332348,3.5230874224527855
Health Care,Health Care Equipment,ABT,BAX,0.03518093425844882,2.442787551941055
Health Care,Health Care Services,LH,DGX,0.04982062015642181,6.30944689400061
Consumer Discretionary,Homebuilding,DHI,LEN,0.003731409667332225,1.741392400985203
Industrials,Human Resource & Employment Services,ADP,DAY,0.026364040958253704,3.8391517990271056
Information Technology,IT Consulting & Other Services,ACN,CTSH,0.030626350639679886,2.297785938267956
Industrials,Industrial Machinery & Supplies & Components,ITW,OTIS,0.03366531259047533,1.8651957322229213
Financials,Insurance Brokers,BRO,MMC,0.016948115084745065,2.4920594664136466
Energy,Integrated Oil & Gas,CVX,XOM,0.012361682520951154,2.886064945434383
Communication Services,Interactive Media & Services,GOOGL,META,0.049964338221657696,19.017144601260725
Financials,Investment Banking & Brokerage,SCHW,MS,0.027290606062287018,3.992946779461375
Health Care,Life Sciences Tools & Services,CRL,DHR,0.04870697848378445,7.537421094207883
Health Care,Managed Health Care,CNC,ELV,0.014683413398149804,12.039327698995665
Communication Services,Movies & Entertainment,PARA,DIS,0.032464715862301874,3.743599499734452
Utilities,Multi-Utilities,CNP,NI,0.013675911760551884,0.45876879690803773
Financials,Multi-line Insurance,AIZ,L,0.00038576008667421297,1.11522194507788
Energy,Oil & Gas Equipment & Services,HAL,SLB,0.03700929836184208,1.463403620350763
Energy,Oil & Gas Exploration & Production,EOG,MRO,0.03404377697318615,0.71367495653119
Energy,Oil & Gas Storage & Transportation,TRGP,WMB,0.008553547282373135,0.8297417082561207
Consumer Discretionary,Other Specialty Retail,TSCO,ULTA,0.012574556032579209,27.4825978341218
Consumer Staples,Packaged Foods & Meats,K,SJM,0.0219885026480785,4.779234744295189
Industrials,Passenger Airlines,LUV,UAL,0.005196274506925308,2.9470710291339963
Consumer Staples,Personal Care Products,EL,KVUE,0.012354438923242783,0.6878320896968775
Health Care,Pharmaceuticals,BMY,PFE,9.580692601615907e-06,1.4936121510659024
Financials,Property & Casualty Insurance,ACGL,CINF,0.029764626802542844,5.4574197541727925
Financials,Regional Banks,CFG,HBAN,0.021482669287584667,0.3540595137043119
Consumer Discretionary,Restaurants,DPZ,SBUX,0.047762382815646584,4.39274537963612
Real Estate,Self-Storage REITs,EXR,PSA,0.00030826294780699804,6.070990080567365
Information Technology,Semiconductor Materials & Equipment,AMAT,LRCX,0.015243524125544508,1.7841375824790757
Information Technology,Semiconductors,INTC,MU,0.0001690297146411641,2.728111275129614
Materials,Specialty Chemicals,DD,LYB,0.007289591678332338,2.757300853031037
Consumer Staples,Tobacco,MO,PM,0.03754442627993472,2.4083811099850716
