Pair,Total Trades,Win Ratio,Net Profit,Cumulative Return(%),Market Return(%),Max Drawdown (MDD)
ABBV-GILD,10,0.7,119.3000030517578,1.193000030517578,15.131258985088092,-15.200042724609377
ABT-BAX,10,0.6,36.599884033203125,0.3659988403320312,15.131258985088092,-7.20001220703125
ACGL-CINF,12,0.5,15.700149536132812,0.1570014953613281,15.131258985088092,-28.29994201660156
ACN-CTSH,8,0.5,33.200225830078125,0.3320022583007812,15.131258985088092,-89.0997314453125
ADP-DAY,16,0.5,129.79984283447266,1.2979984283447266,15.131258985088092,-37.5
AIZ-L,8,0.5,-40.80001831054688,-0.4080001831054687,15.131258985088092,-35.099945068359375
AMAT-LRCX,18,0.4444444444444444,81.42021179199219,0.8142021179199219,15.131258985088092,-68.50006103515625
AMZN-EBAY,6,0.8333333333333334,25.799903869628903,0.257999038696289,15.131258985088092,-0.9000015258789062
ANET-JNPR,10,0.7,-30.89996337890625,-0.3089996337890625,15.131258985088092,-30.250015258789062
BEN-IVZ,16,0.5,5.099992752075195,0.0509999275207519,15.131258985088092,-7.200002670288086
BMY-PFE,8,0.375,-60.200042724609375,-0.6020004272460937,15.131258985088092,-38.20003509521485
BRO-MMC,6,0.6666666666666666,52.90016174316406,0.5290016174316406,15.131258985088092,-29.09996032714844
CAH-COR,8,0.625,177.1997833251953,1.771997833251953,15.131258985088092,-13.39996337890625
CFG-HBAN,2,0.0,-2.5,-0.025,15.131258985088092,-1.8000030517578125
CHRW-FDX,12,0.4166666666666667,-140.40023803710938,-1.4040023803710937,15.131258985088092,-169.6002197265625
CNC-ELV,6,0.3333333333333333,244.69993591308597,2.44699935913086,15.131258985088092,-29.000015258789062
CNP-NI,12,0.5833333333333334,-0.1999664306640625,-0.0019996643066406,15.131258985088092,-10.500011444091797
COF-SYF,8,0.75,21.100120544433597,0.2110012054443359,15.131258985088092,-22.00000762939453
CRL-DHR,14,0.4285714285714285,-3.699798583984375,-0.0369979858398437,15.131258985088092,-73.99993896484375
CTVA-FMC,4,0.25,-11.899986267089844,-0.1189998626708984,15.131258985088092,-6.8000030517578125
CVX-XOM,6,0.6666666666666666,72.59994506835938,0.7259994506835937,15.131258985088092,-24.59999084472656
DD-LYB,6,0.5,1.2999725341796875,0.0129997253417968,15.131258985088092,-13.39996337890625
DHI-LEN,12,0.5833333333333334,32.79998779296875,0.3279998779296875,15.131258985088092,-111.39999389648438
DPZ-SBUX,10,0.7,273.9997863769531,2.7399978637695312,15.131258985088092,-127.09999084472656
EL-KVUE,10,0.5,167.39999771118164,1.6739999771118164,15.131258985088092,-14.70001220703125
EOG-MRO,14,0.4285714285714285,-41.300106048583984,-0.4130010604858398,15.131258985088092,-40.99998474121094
ETN-EMR,8,0.625,159.29969787597656,1.5929969787597655,15.131258985088092,-19.70001220703125
ETR-PPL,10,0.5,9.00003433227539,0.0900003433227539,15.131258985088092,-15.799942016601562
EXR-PSA,4,0.5,24.20013427734375,0.2420013427734375,15.131258985088092,-157.39990234375
FICO-PTC,6,0.6666666666666666,-449.1996765136719,-4.491996765136719,15.131258985088092,-817.099609375
FOXA-WBD,6,0.5,-8.100028038024902,-0.081000280380249,15.131258985088092,-10.400009155273438
GE-HWM,12,0.5833333333333334,-123.90144348144533,-1.2390144348144532,15.131258985088092,-105.50003051757812
GOOGL-META,6,0.3333333333333333,176.300048828125,1.7630004882812502,15.131258985088092,-31.800079345703125
GPC-LKQ,10,0.4,9.20001983642578,0.0920001983642578,15.131258985088092,-47.99999237060547
HAL-SLB,12,0.5,4.3000030517578125,0.0430000305175781,15.131258985088092,-20.40000915527344
INTC-MU,14,0.5714285714285714,29.899959564208984,0.2989995956420898,15.131258985088092,-98.89999389648438
ITW-OTIS,8,0.625,20.499725341796875,0.2049972534179687,15.131258985088092,-45.89996337890625
K-SJM,8,0.625,-43.2000732421875,-0.432000732421875,15.131258985088092,-100.80001831054688
KEYS-ZBRA,8,0.625,99.69955444335938,0.9969955444335936,15.131258985088092,-145.7000732421875
LH-DGX,8,0.5,45.10017395019531,0.4510017395019531,15.131258985088092,-30.0
LUV-UAL,10,0.4,-58.5999870300293,-0.585999870300293,15.131258985088092,-31.199989318847656
LVS-WYNN,8,0.25,-24.60002899169922,-0.2460002899169922,15.131258985088092,-10.499954223632812
MKTX-NDAQ,4,0.5,27.499923706054688,0.2749992370605468,15.131258985088092,-7.999992370605469
MO-PM,8,0.625,19.2999267578125,0.192999267578125,15.131258985088092,-16.200027465820312
PARA-DIS,12,0.4166666666666667,19.599838256835938,0.1959983825683593,15.131258985088092,-12.200002670288086
PNC-USB,8,0.625,1.99981689453125,0.0199981689453125,15.131258985088092,-26.100006103515625
SCHW-MS,10,0.6,59.80003356933594,0.5980003356933594,15.131258985088092,-38.59992980957031
TGT-WMT,8,0.5,-169.39990997314453,-1.6939990997314451,15.131258985088092,-128.699951171875
TRGP-WMB,6,0.6666666666666666,-114.70001220703124,-1.1470001220703123,15.131258985088092,-76.80000305175781
TSCO-ULTA,6,0.5,-24.199676513671875,-0.2419967651367187,15.131258985088092,-83.2000732421875
